origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2026-03-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1050.15,1285.91,2.284,2026-09-08 08:38:45+00:00
2026-03-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2203.41,3041.91,3.726,2026-09-08 08:38:45+00:00
2026-03-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,762.43,895.86,1.374,2026-09-08 08:38:45+00:00
2026-03-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2185.07,2785.29,3.687,2026-09-08 08:38:45+00:00
2026-03-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,997.79,1215.92,1.706,2026-09-08 08:38:45+00:00
2026-03-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1262.92,1500.03,2.123,2026-09-08 08:38:45+00:00
2026-03-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2019.74,2642.72,3.966,2026-09-08 08:38:45+00:00
2026-03-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1918.47,2155.9,4.075,2026-09-08 08:38:45+00:00
2026-03-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2581.37,2840.85,4.447,2026-09-08 08:38:45+00:00
2026-03-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,661.53,763.57,1.154,2026-09-08 08:38:45+00:00
2026-03-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1595.94,1922.89,2.766,2026-09-08 08:38:45+00:00
2026-03-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1447.92,1950.22,2.453,2026-09-08 08:38:45+00:00
2026-03-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1291.3,1592.22,2.24,2026-09-08 08:38:45+00:00
2026-03-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,373.09,517.47,0.764,2026-09-08 08:38:45+00:00
2026-03-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1795.35,2240.2,3.958,2026-09-08 08:38:45+00:00
2026-03-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2110.71,2401.39,3.621,2026-09-08 08:38:45+00:00
2026-03-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1391.62,1847.26,2.354,2026-09-08 08:38:45+00:00
2026-03-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2445.27,3100.19,3.855,2026-09-08 08:38:45+00:00
2026-03-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1540.16,1766.54,2.601,2026-09-08 08:38:45+00:00
2026-03-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1611.36,2133.07,2.629,2026-09-08 08:38:45+00:00
2026-03-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1036.7,1161.5,2.007,2026-09-08 08:38:45+00:00
2026-03-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1516.79,1860.96,3.088,2026-09-08 08:38:45+00:00
